Team,Player Name,Games,Wins,Losses,Win Rate %,Kills,Deaths,Assists,KDA,Creep Score (CS),CS per minute,Gold,Gold per minute,Damage,Damage per minute,Kill Participation %,Kill Share %,Gold Share %,Unique Champions,1st Most Played,2nd Most Played,3rd Most Played
DRX,Deft,21,14,7,66.7,3.14,1.76,4.62,4.41,326.57,9.47,15.1,437,20000.0,581,59.1,23.9,24.0,9,Varus,Caitlyn,Ashe
Gen.G,Ruler,16,10,6,62.5,3.88,1.38,4.44,6.05,291.0,9.26,13.8,438,20000.0,637,66.5,31.0,24.2,9,Lucian,Aphelios,Miss Fortune
T1,Gumayusi,18,13,5,72.2,5.0,1.44,5.94,7.58,308.33,9.66,15.1,472,19700.0,617,67.7,30.9,24.7,8,Varus,Lucian,Sivir
JD Gaming,Hope,14,10,4,71.4,4.21,2.64,5.79,3.78,292.43,9.31,14.0,445,18500.0,590,64.2,27.1,23.6,6,Aphelios,Lucian,Kai'Sa
Cloud9,Berserker,6,1,5,16.7,1.33,2.0,2.67,2.0,240.17,8.83,10.3,378,10700.0,392,60.0,20.0,23.6,6,Miss Fortune,Jinx,Varus
DWG KIA,deokdam,12,7,5,58.3,4.5,1.92,5.42,5.17,280.08,8.86,14.1,447,18600.0,587,68.4,31.0,24.4,5,Aphelios,Lucian,Jhin
EDward Gaming,Viper,11,6,5,54.5,4.18,1.82,5.27,5.2,321.91,9.62,14.8,441,21400.0,640,72.2,31.9,24.6,5,Aphelios,Kalista,Sivir
Royal Never Give Up,GALA,10,5,5,50.0,4.4,1.6,4.9,5.81,320.1,10.13,14.3,454,19600.0,620,70.5,33.3,24.8,5,Aphelios,Kai'Sa,Lucian
G2 Esports,Flakked,6,1,5,16.7,2.67,2.5,3.33,2.4,270.0,8.96,11.8,390,12000.0,398,65.5,29.1,23.8,5,Seraphine,Draven,Caitlyn
CTBC Flying Oyster,Shunn,5,1,4,20.0,3.2,3.8,2.2,1.42,280.2,8.84,13.2,416,13200.0,417,62.8,37.2,24.5,5,Kai'Sa,Caitlyn,Kalista
Rogue (European Team),Comp,10,4,6,40.0,4.3,1.8,2.6,3.83,301.8,9.73,14.0,450,15100.0,488,62.7,39.1,25.9,4,Lucian,Kalista,Caitlyn
Top Esports,JackeyLove,6,3,3,50.0,5.33,2.33,5.17,4.5,295.33,9.37,15.3,486,20700.0,656,76.8,39.0,26.1,4,Lucian,Draven,Varus
100 Thieves,FBI,6,1,5,16.7,2.17,3.17,4.17,2.0,198.17,6.45,10.9,356,12600.0,409,71.7,24.5,21.3,4,Miss Fortune,Aphelios,Kalista
Evil Geniuses,Kaori,6,1,5,16.7,3.83,3.0,2.17,2.0,256.67,8.92,12.2,423,15700.0,546,67.9,43.4,25.5,4,Varus,Lucian,Ezreal
GAM Esports,Sty1e,6,1,5,16.7,2.17,3.33,3.83,1.8,285.5,9.03,12.3,389,12800.0,404,66.7,24.1,23.8,4,Kalista,Kai'Sa,Varus
Fnatic,Upset,6,2,4,33.3,3.33,1.33,3.0,4.75,299.5,9.72,13.1,424,15000.0,486,66.7,35.1,25.1,3,Aphelios,Lucian,Kalista
CTBC Flying Oyster,Atlen,1,0,1,0.0,3.0,5.0,2.0,1.0,251.0,7.9,12.8,402,5200.0,163,100.0,60.0,24.0,1,Draven,,
