Team,Player Name,Games,Wins,Losses,Win Rate %,Kills,Deaths,Assists,KDA,Creep Score (CS),CS per minute,Gold,Gold per minute,Damage,Damage per minute,Kill Participation %,Kill Share %,Gold Share %,Unique Champions,1st Most Played,2nd Most Played,3rd Most Played
DRX,Pyosik,20,14,6,70%,2.5,1.65,6.55,5.48,187.75,5.46,11.5,335,10.9k,317,68%,18.8%,18.3%,8,Viego,Kindred,Graves
Gen.G,Peanut,16,10,6,62.5%,1.94,1.81,6.69,4.76,176.25,5.61,10.4,330,9.8k,311,69%,15.5%,18.3%,8,Graves,Trundle,Sejuani
T1,Oner,18,13,5,72.2%,2.78,2.39,8.06,4.53,182.83,5.73,11.5,360,11.5k,361,67%,17.2%,18.8%,7,Sejuani,Viego,Graves
DWG KIA,Canyon,12,7,5,58.3%,3.42,2.67,6.75,3.81,176.67,5.59,11.3,358,13.3k,421,70.1%,23.6%,19.5%,7,Viego,Kayn,Graves
JD Gaming,Kanavi,14,10,4,71.4%,4.57,2.71,5.86,3.84,211.29,6.73,12.7,406,13.3k,425,67%,29.4%,21.5%,6,Viego,Graves,Bel'Veth
EDward Gaming,JieJie,11,6,5,54.5%,1.73,2.64,7.82,3.62,183.27,5.48,11,327,10.9k,327,72.9%,13.2%,18.3%,6,Lee Sin,Sejuani,Graves
Top Esports,Tian,6,3,3,50%,1.83,2.33,7.33,3.93,174,5.52,10.5,332,10.9k,344,67.1%,13.4%,17.8%,6,Poppy,Graves,Lee Sin
Royal Never Give Up,Wei,10,5,5,50%,2.2,2.4,7.4,4,157.7,4.99,10.4,328,9.2k,292,72.7%,16.7%,18%,5,Vi,Viego,Graves
Cloud9,Blaber,6,1,5,16.7%,1,3.17,4.33,1.68,148.17,5.45,8.3,305,6.9k,254,80%,15%,19.1%,5,Trundle,Sejuani,Poppy
100 Thieves,Closer,6,1,5,16.7%,2,2,3.83,2.92,152.17,4.95,9.3,303,5.5k,179,66%,22.6%,18.1%,5,Viego,Bel'Veth,Sejuani
CTBC Flying Oyster,Gemini,6,1,5,16.7%,1.33,4.5,4.5,1.3,143.17,4.52,8.9,280,6.9k,218,72.9%,16.7%,16.5%,5,Viego,Jarvan IV,Lee Sin
Evil Geniuses,Inspired,6,1,5,16.7%,2.17,2.33,4,2.64,183.5,6.38,9.8,342,9.7k,336,69.8%,24.5%,20.6%,5,Hecarim,Fiddlesticks,Graves
G2 Esports,Jankos,6,1,5,16.7%,1.33,2.83,6.17,2.65,175.17,5.81,9.7,322,9.2k,304,81.8%,14.5%,19.7%,5,Graves,Lee Sin,Jarvan IV
Rogue (European Team),Malrang,10,4,6,40%,1.5,3.1,6.6,2.61,144.8,4.67,9.3,298,8.2k,265,73.6%,13.6%,17.2%,4,Lee Sin,Jarvan IV,Vi
GAM Esports,Levi,6,1,5,16.7%,2.67,4.5,5.67,1.85,185.83,5.88,10.9,344,16.6k,524,92.6%,29.6%,21.1%,4,Graves,Karthus,Sejuani
Fnatic,Razork,6,2,4,33.3%,1.5,2.67,5.17,2.5,155.17,5.03,9.2,299,10k,324,70.2%,15.8%,17.7%,3,Poppy,Maokai,Jarvan IV
DRX,Juhan,1,0,1,0%,3,4,6,2.25,165,4.56,10.7,297,12.9k,357,90%,30%,18.3%,1,Lee Sin,,
