Team,Player Name,Games,Wins,Losses,Win Rate %,Kills,Deaths,Assists,KDA,Creep Score (CS),CS per minute,Gold,Gold per minute,Damage,Damage per minute,Kill Participation %,Kill Share %,Gold Share %,Unique Champions,1st Most Played,2nd Most Played,3rd Most Played
T1,Faker,18,13,5,72.2%,3.39,3.11,5.33,2.8,251.94,7.89,12.7,397,19.8k,621,54%,21%,20.8%,7,Akali,Viktor,Azir
Gen.G,Chovy,16,10,6,62.5%,3.94,1.38,3.63,5.5,304.06,9.68,13.7,438,17.5k,558,60.5%,31.5%,24.2%,7,Azir,Sylas,Ryze
DWG KIA,ShowMaker,12,7,5,58.3%,3.42,1.5,5.75,6.11,260.25,8.23,12.7,403,20k,633,63.2%,23.6%,22%,7,LeBlanc,Azir,Lissandra
DRX,Zeka,21,14,7,66.7%,4,1.57,4.1,5.15,322.62,9.36,14.9,431,16.6k,481,61.6%,30.4%,23.7%,6,Sylas,Azir,Akali
GAM Esports,Kati,6,1,5,16.7%,1.5,3.17,4.83,2,241.67,7.64,10.8,342,13.5k,428,70.4%,16.7%,20.9%,6,Syndra,Galio,Sett
EDward Gaming,Scout,11,6,5,54.5%,4.18,2.27,4.09,3.64,272.45,8.14,13.6,406,23.2k,694,63.2%,31.9%,22.7%,5,Azir,Akali,Viktor
Royal Never Give Up,Xiaohu,10,5,5,50%,2.7,2.6,4.8,2.88,272.1,8.61,12.5,394,15.3k,483,56.8%,20.5%,21.6%,5,Akali,Lissandra,Sylas
Rogue (European Team),Larssen,10,4,6,40%,3.2,1.2,4.2,6.17,279.8,9.02,13,418,18.9k,609,67.3%,29.1%,24.1%,5,Azir,LeBlanc,Sylas
G2 Esports,caPs,6,1,5,16.7%,2.33,2.67,3.33,2.13,243.5,8.08,10.9,363,12.5k,416,61.8%,25.5%,22.1%,5,Sylas,Seraphine,Swain
Cloud9,Jensen,6,1,5,16.7%,2.67,2.83,2.17,1.71,220.5,8.11,10,366,16.7k,615,72.5%,40%,22.9%,5,Viktor,LeBlanc,Orianna
Top Esports,knight,6,3,3,50%,4.33,1.17,5.5,8.43,283.5,8.99,13.9,442,22.4k,711,72%,31.7%,23.7%,4,Ahri,Azir,Akali
100 Thieves,Abbedagge,6,1,5,16.7%,1.83,2.83,3.83,2,262.67,8.54,11.6,378,14.2k,463,64.2%,20.8%,22.6%,4,Viktor,Taliyah,Azir
Evil Geniuses,jojopyun,6,1,5,16.7%,1.33,3.83,2.67,1.04,221.67,7.71,10,348,13k,452,45.3%,15.1%,20.9%,4,Akali,Sett,Sylas
JD Gaming,Yagao,14,10,4,71.4%,2.43,2.64,7.14,3.62,254.86,8.12,12.3,392,16.6k,528,61.5%,15.6%,20.8%,3,Sylas,Taliyah,Azir
Fnatic,Humanoid,6,2,4,33.3%,3.17,2.67,2.83,2.25,297.67,9.66,12.9,419,20.9k,678,63.2%,33.3%,24.8%,3,Azir,Viktor,Akali
CTBC Flying Oyster,Mission,6,1,5,16.7%,1.5,3.33,3.67,1.55,300,9.46,13.1,413,20.1k,634,64.6%,18.8%,24.4%,3,Viktor,Syndra,Azir
