Team,Player Name,Games,Wins,Losses,Win Rate %,Kills,Deaths,Assists,KDA,Creep Score (CS),CS per minute,Gold,Gold per minute,Damage,Damage per minute,Kill Participation %,Kill Share %,Gold Share %,Unique Champions,1st Most Played,2nd Most Played,3rd Most Played
DRX,BeryL,21,14,7,66.7%,0.76,2.24,8,3.91,34.62,1,8.6,250,10.2k,295,66.7%,5.8%,13.7%,11,Heimerdinger,Renata Glasc,Lux
T1,Keria,18,13,5,72.2%,1.39,1.61,10.89,7.62,21.83,0.68,8.5,265,8.2k,258,75.9%,8.6%,13.9%,10,Nami,Renata Glasc,Yuumi
Gen.G,Lehends,16,10,6,62.5%,0.75,2.5,8.44,3.68,24.56,0.78,7.3,233,6k,191,73.5%,6%,12.9%,9,Nami,Lulu,Karma
JD Gaming,Missing,14,10,4,71.4%,1.07,2.93,10.29,3.88,21.29,0.68,7.7,247,7.2k,230,72.9%,6.9%,13.1%,8,Lulu,Nami,Renata Glasc
Royal Never Give Up,Ming,10,5,5,50%,0.9,2.7,8.3,3.41,26.2,0.83,7.5,237,5.3k,167,69.7%,6.8%,13%,8,Nautilus,Nami,Blitzcrank
Rogue (European Team),Trymbi,10,4,6,40%,0.3,3.1,7,2.35,20.7,0.67,7,224,6.4k,208,66.4%,2.7%,12.9%,6,Nami,Soraka,Nasus
GAM Esports,Bie,6,1,5,16.7%,1,3.17,5.33,2,32.67,1.03,7,222,5k,158,70.4%,11.1%,13.6%,6,Rell,Sett,Renata Glasc
Cloud9,Zven,6,1,5,16.7%,0.83,4.5,3,0.85,25.5,0.94,6,220,4k,148,57.5%,12.5%,13.7%,6,Nautilus,Lulu,Renata Glasc
EDward Gaming,Meiko,11,6,5,54.5%,0.91,2.64,8.64,3.62,26.27,0.78,7.9,236,5.4k,162,72.9%,6.9%,13.2%,5,Thresh,Renata Glasc,Lulu
Top Esports,Mark,6,3,3,50%,1.17,2,9.33,5.25,24,0.76,7.7,245,5.4k,171,76.8%,8.5%,13.1%,5,Nami,Yuumi,Leona
CTBC Flying Oyster,Koala,6,1,5,16.7%,0.83,4.83,4.17,1.03,37.33,1.18,7.4,235,5.1k,161,62.5%,10.4%,13.9%,5,Amumu,Rell,Lux
G2 Esports,Targamas,6,1,5,16.7%,0.17,3.17,7,2.26,31.5,1.04,6.5,216,4.3k,143,78.2%,1.8%,13.2%,5,Rell,Lux,Thresh
DWG KIA,Kellin,12,7,5,58.3%,0.67,2.08,10.25,5.24,16.42,0.52,7.6,241,5.4k,170,75.3%,4.6%,13.2%,4,Renata Glasc,Nami,Lulu
Fnatic,Hylissang,6,2,4,33.3%,0.17,4.17,7.17,1.76,21.33,0.69,6.8,219,4.9k,159,77.2%,1.8%,13%,4,Renata Glasc,Nami,Soraka
100 Thieves,huhi,6,1,5,16.7%,0.67,3,5.33,2,88.67,2.88,8,261,5k,164,67.9%,7.5%,15.6%,4,Amumu,Leona,Seraphine
Evil Geniuses,Vulcan,6,1,5,16.7%,0.17,3.67,6.33,1.77,21.83,0.76,6.2,215,4.5k,155,73.6%,1.9%,13%,4,Tahm Kench,Nami,Bard
