Game Number,Match Length (minutes),Side,Team,Top,Top Champion,Jungle,Jungle Champion,Mid,Mid Champion,Bottom,Bottom Champion,Support,Support Champion,Total Team Kills,Total Team Gold (k),Towers,Inhibitors,Barons,Dragons,Heralds,Victory
25,27.83,Blue,Fnatic,Wunder,Maokai,Razork,Jarvan IV,Humanoid,Viktor,Upset,Aphelios,Hylissang,Soraka,5,42.9,1,0,0,1,0,0
25,27.83,Red,Cloud9,Fudge,Ornn,Blaber,Trundle,Jensen,Orianna,Berserker,Jinx,Zven,Lulu,18,57.9,10,2,2,3,2,1
26,29.12,Blue,T1,Zeus,Yone,Oner,Sejuani,Faker,Sylas,Gumayusi,Sivir,Keria,Yuumi,15,57.2,11,3,2,2,1,1
26,29.12,Red,Fnatic,Wunder,Maokai,Razork,Poppy,Humanoid,Akali,Upset,Lucian,Hylissang,Nami,7,45.6,1,0,0,1,1,0
27,26.12,Blue,Cloud9,Fudge,Aatrox,Blaber,Trundle,Jensen,Viktor,Berserker,Varus,Zven,Renata Glasc,1,36.1,0,0,0,0,0,0
27,26.12,Red,EDward Gaming,Flandre,Fiora,JieJie,Maokai,Scout,Akali,Viper,Aphelios,Meiko,Thresh,19,54.4,9,2,1,3,2,1
28,29.7,Blue,Fnatic,Wunder,Gragas,Razork,Poppy,Humanoid,Viktor,Upset,Aphelios,Hylissang,Nautilus,2,45.5,2,0,0,0,0,0
28,29.7,Red,EDward Gaming,Flandre,Fiora,JieJie,Sejuani,Scout,Akali,Viper,Jinx,Meiko,Thresh,18,61.5,11,3,2,3,2,1
29,23.32,Blue,T1,Zeus,Jayce,Oner,Sejuani,Faker,Sylas,Gumayusi,Lucian,Keria,Nami,16,48.7,10,1,1,1,2,1
29,23.32,Red,Cloud9,Fudge,Fiora,Blaber,Bel'Veth,Jensen,Akali,Berserker,Kai'Sa,Zven,Heimerdinger,8,34.4,0,0,0,2,0,0
30,28.23,Blue,EDward Gaming,Flandre,Maokai,JieJie,Graves,Scout,Lissandra,Viper,Aphelios,Meiko,Thresh,8,46.4,1,0,0,0,2,0
30,28.23,Red,T1,Zeus,Gangplank,Oner,Sejuani,Faker,Viktor,Gumayusi,Kalista,Keria,Soraka,24,59.5,9,1,1,4,0,1
31,32.53,Blue,G2 Esports,BrokenBlade,Ornn,Jankos,Lee Sin,caPs,Azir,Flakked,Draven,Targamas,Thresh,2,47.7,1,0,0,1,0,0
31,32.53,Red,Evil Geniuses,Impact,Shen,Inspired,Hecarim,jojopyun,Akali,Kaori,Lucian,Vulcan,Nami,15,64.3,11,2,2,3,2,1
32,25.07,Blue,Evil Geniuses,Impact,Maokai,Inspired,Fiddlesticks,jojopyun,Sett,Kaori,Kalista,Vulcan,Renata Glasc,6,37.8,1,0,0,0,1,0
32,25.07,Red,JD Gaming,369,Fiora,Kanavi,Graves,Yagao,Sylas,Hope,Lucian,Missing,Nami,17,55.9,11,2,1,3,1,1
33,25.4,Blue,DWG KIA,Nuguri,Sejuani,Canyon,Viego,ShowMaker,LeBlanc,deokdam,Lucian,Kellin,Nami,18,51.9,10,2,1,3,2,1
33,25.4,Red,G2 Esports,BrokenBlade,Fiora,Jankos,Bel'Veth,caPs,Swain,Flakked,Seraphine,Targamas,Senna,2,36.6,1,0,0,0,0,0
34,28.2,Blue,G2 Esports,BrokenBlade,Maokai,Jankos,Graves,caPs,Akali,Flakked,Tristana,Targamas,Rell,10,46.1,2,0,0,1,0,0
34,28.2,Red,JD Gaming,369,Renekton,Kanavi,Nidalee,Yagao,Sylas,Hope,Kalista,Missing,Renata Glasc,17,60.3,10,2,2,3,2,1
35,28.13,Blue,Evil Geniuses,Impact,Ornn,Inspired,Bel'Veth,jojopyun,Akali,Kaori,Lucian,Vulcan,Nami,8,44.5,1,0,0,0,0,0
35,28.13,Red,DWG KIA,Nuguri,Aatrox,Canyon,Sejuani,ShowMaker,Sylas,deokdam,Draven,Kellin,Renata Glasc,21,59.4,11,2,1,4,2,1
36,29.2,Blue,JD Gaming,369,Kennen,Kanavi,Lee Sin,Yagao,Sylas,Hope,Lucian,Missing,Nami,6,48.3,2,0,0,1,1,0
36,29.2,Red,DWG KIA,Nuguri,Gragas,Canyon,Graves,ShowMaker,LeBlanc,deokdam,Aphelios,Kellin,Lulu,21,59.9,10,2,1,3,1,1
