Game Number,Match Length (minutes),Side,Team,Top,Top Champion,Jungle,Jungle Champion,Mid,Mid Champion,Bottom,Bottom Champion,Support,Support Champion,Total Team Kills,Total Team Gold (k),Towers,Inhibitors,Barons,Dragons,Heralds,Victory
68,39.88,Blue,T1,Zeus,Camille,Oner,Vi,Faker,Galio,Gumayusi,Lucian,Keria,Nami,14,68.9,5,0,1,1,1,0
68,39.88,Red,JD Gaming,369,Jax,Kanavi,Viego,Yagao,Taliyah,Hope,Aphelios,Missing,Lulu,20,73.4,8,1,0,5,1,1
69,34.0,Blue,T1,Zeus,Yone,Oner,Poppy,Faker,Ryze,Gumayusi,Lucian,Keria,Nami,17,67.2,10,3,2,2,1,1
69,34.0,Red,JD Gaming,369,Malphite,Kanavi,Bel'Veth,Yagao,Sylas,Hope,Aphelios,Missing,Lulu,11,58,3,0,0,3,1,0
70,30.9,Blue,JD Gaming,369,Renekton,Kanavi,Viego,Yagao,Azir,Hope,Aphelios,Missing,Lulu,18,57.4,3,0,0,1,2,0
70,30.9,Red,T1,Zeus,Gangplank,Oner,Nocturne,Faker,Ryze,Gumayusi,Lucian,Keria,Nami,23,67.1,10,2,2,3,0,1
71,24.9,Blue,JD Gaming,369,Sejuani,Kanavi,Bel'Veth,Yagao,Sylas,Hope,Jhin,Missing,Karma,7,40.5,2,0,0,0,2,0
71,24.9,Red,T1,Zeus,Gragas,Oner,Viego,Faker,Azir,Gumayusi,Varus,Keria,Renata Glasc,30,53.9,10,2,1,4,0,1
72,29.67,Blue,Gen.G,Doran,Fiora,Peanut,Viego,Chovy,Sylas,Ruler,Varus,Lehends,Tahm Kench,12,58.5,10,2,1,2,2,1
72,29.67,Red,DRX,Kingen,Camille,Pyosik,Sejuani,Zeka,Azir,Deft,Miss Fortune,BeryL,Soraka,2,44.9,2,0,0,2,0,0
73,39.4,Blue,DRX,Kingen,Gragas,Pyosik,Kindred,Zeka,Ahri,Deft,Caitlyn,BeryL,Lux,9,70.2,8,1,1,5,1,1
73,39.4,Red,Gen.G,Doran,Ornn,Peanut,Graves,Chovy,Sylas,Ruler,Varus,Lehends,Karma,3,62.6,5,2,0,1,1,0
74,30.15,Blue,Gen.G,Doran,Sejuani,Peanut,Trundle,Chovy,Azir,Ruler,Ezreal,Lehends,Karma,5,48,3,0,0,1,2,0
74,30.15,Red,DRX,Kingen,Ornn,Pyosik,Viego,Zeka,Akali,Deft,Varus,BeryL,Renata Glasc,20,59.2,8,1,1,3,0,1
75,37.82,Blue,Gen.G,Doran,Renekton,Peanut,Viego,Chovy,Ryze,Ruler,Xayah,Lehends,Nautilus,8,60.2,2,0,0,2,1,0
75,37.82,Red,DRX,Kingen,Gragas,Pyosik,Kindred,Zeka,Galio,Deft,Varus,BeryL,Braum,15,69.8,10,2,2,4,1,1
76,31.18,Blue,T1,Zeus,Yone,Oner,Lee Sin,Faker,Azir,Gumayusi,Varus,Keria,Renata Glasc,15,61.5,11,5,2,4,1,1
76,31.18,Red,DRX,Kingen,Aatrox,Pyosik,Viego,Zeka,Sylas,Deft,Sivir,BeryL,Heimerdinger,5,50.4,0,0,0,1,1,0
77,46.2,Blue,DRX,Kingen,Camille,Pyosik,Viego,Zeka,Sylas,Deft,Varus,BeryL,Heimerdinger,17,80.5,9,1,1,3,1,1
77,46.2,Red,T1,Zeus,Aatrox,Oner,Graves,Faker,Viktor,Gumayusi,Ashe,Keria,Lux,13,79.6,4,0,0,4,1,0
78,32.2,Blue,T1,Zeus,Gragas,Oner,Graves,Faker,Azir,Gumayusi,Varus,Keria,Karma,12,60.1,10,2,2,3,0,1
78,32.2,Red,DRX,Kingen,Ornn,Pyosik,Viego,Zeka,Sylas,Deft,Kalista,BeryL,Renata Glasc,12,53.8,3,0,0,2,2,0
79,28.75,Blue,DRX,Kingen,Aatrox,Pyosik,Maokai,Zeka,Azir,Deft,Varus,BeryL,Renata Glasc,14,54.8,9,2,1,3,1,1
79,28.75,Red,T1,Zeus,Fiora,Oner,Sejuani,Faker,Akali,Gumayusi,Kalista,Keria,Soraka,4,46.4,3,0,0,1,1,0
80,42.15,Blue,T1,Zeus,Gwen,Oner,Viego,Faker,Viktor,Gumayusi,Varus,Keria,Karma,10,72.1,8,2,2,2,1,0
80,42.15,Red,DRX,Kingen,Aatrox,Pyosik,Hecarim,Zeka,Azir,Deft,Caitlyn,BeryL,Bard,19,74.7,8,1,0,5,1,1
